ID_WP,Tahun,Sektor,Jml_Terlambat,Rata_Pembayaran,Frekuensi_Lapor,Jml_Tunggakan,Kepatuhan
WP001,2024,Manufaktur,6,18682349,4,2,1
WP002,2024,Properti,1,79664106,10,0,0
WP003,2024,Manufaktur,0,49834628,12,0,0
WP004,2025,Jasa,5,1549983,4,3,1
WP005,2024,Manufaktur,0,21291445,10,0,0
WP006,2024,Perdagangan,0,21819441,10,0,0
WP007,2024,Jasa,8,14733452,6,4,1
WP008,2025,Jasa,0,61626869,11,0,0
WP009,2025,Jasa,1,83812465,12,0,0
WP010,2025,Perdagangan,6,8762750,2,1,1
WP011,2024,Perdagangan,0,56259095,11,0,0
WP012,2024,Manufaktur,1,76412028,11,0,0
WP013,2024,Jasa,7,14060642,7,4,1
WP014,2024,Jasa,0,42370163,11,0,0
WP015,2024,Manufaktur,1,77314183,12,0,0
WP016,2024,Perdagangan,0,65547324,12,0,0
WP017,2024,Perdagangan,1,59010773,12,0,0
WP018,2024,Jasa,6,8837003,7,2,1
WP019,2025,Manufaktur,0,90661723,11,0,0
WP020,2024,Properti,0,15970126,12,0,0
WP021,2025,Jasa,4,2172855,4,2,1
WP022,2025,Perdagangan,1,69676801,10,0,0
WP023,2024,Perdagangan,1,72500499,12,0,0
WP024,2024,Jasa,1,30179653,10,0,0
WP025,2024,Jasa,0,25453994,12,0,0
WP026,2025,Manufaktur,1,86519972,10,0,0
WP027,2024,Perdagangan,1,73449239,12,0,0
WP028,2025,Manufaktur,1,78710558,11,0,0
WP029,2024,Jasa,0,30933510,10,0,0
WP030,2025,Properti,4,2412070,4,1,1
WP031,2025,Perdagangan,6,5940766,6,3,1
WP032,2024,Jasa,6,6951933,7,3,1
WP033,2025,Jasa,0,45590261,11,0,0
WP034,2024,Perdagangan,0,21826473,11,0,0
WP035,2025,Manufaktur,4,4636100,1,2,1
WP036,2024,Jasa,0,75710876,11,0,0
WP037,2024,Manufaktur,0,31450231,11,0,0
WP038,2025,Perdagangan,3,15390567,5,1,1
WP039,2025,Properti,0,21179605,12,0,0
WP040,2025,Properti,1,40907002,12,0,0
WP041,2025,Perdagangan,4,10494251,3,2,1
WP042,2024,Perdagangan,1,58357998,11,0,0
WP043,2024,Manufaktur,1,74403930,12,0,0
WP044,2024,Perdagangan,1,29036276,12,0,0
WP045,2024,Perdagangan,1,56381876,12,0,0
WP046,2024,Perdagangan,0,62935165,11,0,0
WP047,2025,Manufaktur,1,62202474,10,0,0
WP048,2024,Manufaktur,0,38750343,10,0,0
WP049,2025,Jasa,1,76728099,10,0,0
WP050,2024,Manufaktur,1,90801181,10,0,0
WP051,2025,Properti,0,32056890,12,0,0
WP052,2024,Manufaktur,1,76591242,11,0,0
WP053,2025,Properti,0,18068868,12,0,0
WP054,2024,Jasa,6,16720237,1,3,1
WP055,2025,Manufaktur,3,3221313,5,1,1
WP056,2024,Properti,1,60887402,11,0,0
WP057,2024,Jasa,0,75465982,12,0,0
WP058,2024,Manufaktur,1,85947835,10,0,0
WP059,2024,Perdagangan,0,78693413,12,0,0
WP060,2025,Properti,5,4876631,1,3,1
WP061,2024,Perdagangan,0,99679446,10,0,0
WP062,2025,Properti,1,55806452,10,0,0
WP063,2025,Properti,7,9895458,6,4,1
WP064,2024,Jasa,1,43782396,10,0,0
WP065,2025,Properti,1,55119892,11,0,0
WP066,2024,Manufaktur,0,67166456,12,0,0
WP067,2024,Perdagangan,0,84845744,11,0,0
WP068,2024,Properti,1,28187170,10,0,0
WP069,2025,Jasa,1,35226653,10,0,0
WP070,2024,Manufaktur,0,62636408,11,0,0
WP071,2024,Perdagangan,0,82390494,11,0,0
WP072,2025,Jasa,1,35440148,12,0,0
WP073,2024,Perdagangan,0,51855179,11,0,0
WP074,2024,Jasa,1,68942950,10,0,0
WP075,2025,Jasa,0,29992164,12,0,0
WP076,2025,Jasa,0,74482330,12,0,0
WP077,2024,Perdagangan,1,90763793,12,0,0
WP078,2024,Jasa,0,37777863,12,0,0
WP079,2025,Properti,1,25098138,11,0,0
WP080,2024,Properti,1,85650957,10,0,0
WP081,2024,Manufaktur,1,92030682,11,0,0
WP082,2025,Jasa,0,56892097,10,0,0
WP083,2024,Perdagangan,0,48793058,10,0,0
WP084,2025,Properti,4,16883358,7,3,1
WP085,2025,Perdagangan,0,15985255,10,0,0
WP086,2024,Properti,1,76358595,12,0,0
WP087,2024,Jasa,3,2722931,2,1,1
WP088,2025,Perdagangan,1,96526627,12,0,0
WP089,2024,Properti,1,17723932,11,0,0
WP090,2025,Manufaktur,1,74348980,10,0,0
WP091,2025,Perdagangan,1,24448677,12,0,0
WP092,2024,Properti,1,86278413,12,0,0
WP093,2025,Perdagangan,4,19678903,6,2,1
WP094,2025,Perdagangan,7,19951479,5,1,1
WP095,2024,Perdagangan,0,18966395,10,0,0
WP096,2024,Perdagangan,0,37177427,11,0,0
WP097,2024,Jasa,1,71557451,10,0,0
WP098,2024,Perdagangan,0,60947495,10,0,0
WP099,2025,Perdagangan,0,87661799,11,0,0
WP100,2024,Perdagangan,1,30096152,12,0,0
WP101,2025,Manufaktur,1,77135160,10,0,0
WP102,2024,Manufaktur,1,63605291,12,0,0
WP103,2024,Jasa,7,8051198,1,2,1
WP104,2024,Jasa,0,49250473,11,0,0
WP105,2024,Properti,0,35475086,11,0,0
WP106,2025,Properti,7,15418928,7,3,1
WP107,2025,Jasa,0,58995286,10,0,0
WP108,2025,Manufaktur,1,18735532,10,0,0
WP109,2024,Jasa,1,58855269,11,0,0
WP110,2024,Jasa,4,17354305,1,3,1
