ID_WP,Jenis_Usaha,Omset_Tahunan,Frekuensi_Keterlambatan,Pajak_Terbayar,Histori_Tunggakan,Status_Kepatuhan
WP-0001,Perdagangan,1000000000,0,10000000.0,0,0
WP-0002,Jasa,500000000,5,5000000.0,1,1
WP-0003,Manufaktur,2000000000,1,5000000.0,2,1
WP-0004,Konstruksi,5000000000,0,50000000.0,0,0
WP-0005,Perdagangan,150000000,1,1500000.0,0,0
WP-0006,Jasa,300000000,4,1000000.0,2,1
WP-0007,Manufaktur,800000000,0,8000000.0,0,0
WP-0008,Perdagangan,1200000000,0,3000000.0,1,1
WP-0009,Konstruksi,4000000000,2,40000000.0,0,0
WP-0010,Jasa,60000000,6,200000.0,2,1
WP-0011,Perdagangan,750000000,0,7500000.0,0,0
WP-0012,Manufaktur,3500000000,1,35000000.0,0,0
WP-0013,Jasa,120000000,3,800000.0,1,1
WP-0014,Konstruksi,1500000000,0,15000000.0,0,0
WP-0015,Perdagangan,250000000,5,2500000.0,0,1
WP-0016,Manufaktur,450000000,0,4500000.0,0,0
WP-0017,Jasa,900000000,1,9000000.0,0,0
WP-0018,Konstruksi,2200000000,2,10000000.0,2,1
WP-0019,Perdagangan,50000000,0,500000.0,0,0
WP-0020,Manufaktur,1800000000,4,18000000.0,1,1
WP-0021,Jasa,300000000,0,3000000.0,0,0
WP-0022,Konstruksi,2800000000,0,28000000.0,0,0
WP-0023,Perdagangan,600000000,2,2000000.0,1,1
WP-0024,Manufaktur,950000000,0,9500000.0,0,0
WP-0025,Jasa,180000000,6,1500000.0,2,1
